#a	c	var	std
0.39999999999999997	0.2	0.020223335794711673	0.004317607660003925
0.39999999999999997	0.3	0.02017426771919521	0.004374845823526452
0.39999999999999997	0.4	0.021138199597844534	0.004741361981479811
0.39999999999999997	0.5	0.020516169642356002	0.005021438663131962
0.39999999999999997	0.6	0.02128074363352108	0.0052948336999385625
0.39999999999999997	0.7	0.020575861101140677	0.005605374277319176
0.39999999999999997	0.8	0.02057277732600284	0.005681376660765743
0.39999999999999997	0.9	0.020310918963622547	0.006074670758523792
0.39999999999999997	0.999	0.02053605774077653	0.006093418665052903
0.44999999999999996	-0.999	0.005360139172262192	0.0019395830015162129
0.44999999999999996	-0.9	0.007845367618186496	0.0018449456608278228
0.44999999999999996	-0.8	0.010542038096563136	0.0021639075046283843
0.44999999999999996	-0.7	0.012418445027345923	0.0024337873889525184
0.44999999999999996	-0.6	0.014163407357735002	0.002888264524038446
0.44999999999999996	-0.5	0.01583505457973091	0.0033204354570450876
0.44999999999999996	-0.4	0.01680603209134229	0.003379377278018948
0.44999999999999996	-0.3	0.017636593467028245	0.003080821032592315
0.44999999999999996	-0.2	0.018946812074251838	0.0034380864557359827
0.44999999999999996	-0.1	0.019349771035753915	0.004117677805073414
0.44999999999999996	-0.0	0.020301417858102362	0.003774309061079277
0.44999999999999996	0.1	0.020424308085953934	0.004142203120203321
0.44999999999999996	0.2	0.02049404727904104	0.0042326067046664926
0.44999999999999996	0.3	0.020439354215783287	0.004116396139485276
0.44999999999999996	0.4	0.02081707666303802	0.004668528767988571
0.44999999999999996	0.5	0.02054184217945633	0.004461692269891933
0.44999999999999996	0.6	0.020362751352034282	0.0048036202739366145
0.44999999999999996	0.7	0.019992297442228624	0.005341972457494361
0.44999999999999996	0.8	0.020801277631807044	0.00576934956400959
0.44999999999999996	0.9	0.020683731210634684	0.0062168718186347074
0.44999999999999996	0.999	0.020827262412113325	0.005173952048573682
0.5	-0.999	0.005831585694693823	0.0022686691995081826
0.5	-0.9	0.008362773428709266	0.002387738959604799
0.5	-0.8	0.0107173737616572	0.002488191636444275
0.5	-0.7	0.012230129138776483	0.0026628406669326624
